food_bank,postcode,website,city,county,Latitude,Longitude
St Catherine's Church Centre,WF1 5HL,www.stcatherines-wakefield.org.uk,"Outwood, Wakefield, Warmfield",West Yorkshire,53.7119,-1.4771
St Luke's,LS11 7HY,https://stlukesholbeck.org.uk/,Beeston,West Yorkshire,53.7667,-1.5667
St Luke's Hub (West London Mission),SE11 4NT,www.wlm.org.uk,"Kennington, Vauxhall, Oval, Lambeth",Greater London,51.488,-0.113125
St Martins Foodbank,SY11 3AY,https://www.facebook.com/stmartinsfoodbank/,"West Felton, Ifton Heath, Whittington, Hindford, Haughton, Rednal, Oswestry, Eardiston, New Marton, Rhyn, Babbinswood, Street Dinas, Middleton, Weirbrook, St Martin's, Grimpo, Queen's Head, Welsh Frankton",Shropshire,52.8249,-2.965927778
St Mary's Cathedral Community Meals,AB10 1SH,www.stmaryscathedralaberdeen.org,Aberdeen,Aberdeenshire,57.1437,-2.0981
St Paul's Pantry,CW1 3BY,http://stpaulscentre.org.uk/,"Crewe, Radway Green, Coppenhall Moss, Bradfield Green, Haslington",Cheshire,53.0979,-2.389
St Pauls Church Hounslow West,TW3 3DA,www.stpaulshw.org.uk,"Hounslow, Hounslow Central, Hounslow East, Hounslow West",Greater London,51.4684,-0.3682
St. Mary's Church and Community Food Bank,M34 7GD,https://www.stmaryshg.org.uk/food-bank,"Denton, Haughton Green, Audenshaw",Greater Manchester,53.4568,-2.108233333
Stafford and Surrounds Community Food Support,ST16 2AJ,https://www.corganisers-stafford.co.uk/stafford-and-surrounds-community-food-support/,"Stafford, Castle Bank",Staffordshire,52.8052,-2.1164
Stannington Foodbank,S6 5HZ,https://www.facebook.com/Stannington-Foodbank-112968863665554/,"Stannington, Low Bradfield, Birley Carr, High Bradfield",South Yorkshire,53.3931,-1.5452
Storehouse North Down Foodbank,BT19 7QT ,www.storehousenorthdown.com,"Bangor, Crawfordsburn, Helens Bay, Groomsport",County Down,54.6534,-5.687875
Stow Park Community Centre,NP20 4FX,http://www.stowparkcommunitycentre.org.uk/,Newport,Newport,51.5877,-2.9984
Streetskitchen,N7 6AA,http://www.streetskitchen.org,"Tufnell Park, Lower Holloway, Holloway, Islington, Caledonian Road, Seven Sisters Road, Holloway Road",Greater London,51.5572,-0.120514286
Sufra NW London,NW10 0PW,www.sufra-nwlondon.org.uk,"Willesden Green, North Acton, Harlesden, Neasden, Willesden, Kensal Rise, Park Royal, Lower Place, Church End, Old Oak Common, Stonebridge Park, Kensal Green, Stonebridge, Willesden Junction",Greater London,51.5471,-0.243121429
Sunnah Healthcare,S4 8LJ,www.sunnahhealthcare.co.uk,Sheffield,South Yorkshire,53.383,-1.4659
Sustainability Morecambe,LA4 4PF,https://www.facebook.com/sustainabilitymorecambe/,"Torrisholme, West End, Morecambe",Lancashire,54.0664,-2.847033333
Sutton Bridge Community Larder,PE12 9SAÂ ,https://en-gb.facebook.com/StMatthewsSuttonBridge/,"Sutton St James, Holbeach Clough, Cowbit, Moulton, Gedney Hill, Moulton Chapel, Sutton Bridge, Holbeach, Whaplode, Whaplode Drove, Fleet, Gedney Dyke, Gedney, Long Sutton, Holbeach Drove, Holbeach St Johns, Lutton, Aswick Grange, Holbeach St Marks, Holbeach St Matthew, Little London, Moulton Seas End, Gedney Broadgate, Sutton Crosses, Fleet Hargate, Dawsmere, Guy's Head, Whaplode St Catherine, Chapelgate, Saracen's Head, Gedney Drove End, Holbeach Bank, Holbeach Hurn, Loosegate, Weston, Sutton St Edmund, Weston Hills, Shepeau Stow",Lincolnshire,52.7442,-0.010465789
Take a Break (Black Country Food Bank),DY3 2AU,https://www.blackcountryfoodbank.org.uk/,"Himley, Swindon, Gornalwood, Upper Gornal, Sedgley, Gospel End",Staffordshire,52.519,-2.15085
Tara Martin's Community Project,ME4 4BY,https://www.taramartinscommunityproject.org/,"Brompton, Chatham",Kent,51.4,0.5306
Tay Bridgehead Foodbank,DD6 8TA ,https://www.facebook.com/TFoodbank/,"Newport-on-Tay, Balmerino, Kirkton, Tayport, Gauldry, Wormit, Woodhaven, Bottomcraig",Fife,56.4391,-2.9423875
TEES CIO,TS10 1SG,wwwteescommunity.co.uk,"Kirkleatham, Redcar, Dormanstown, Coatham, Wilton",North Yorkshire,54.5885,-1.07006
The Bay Food Bank,NE29 6BA,thebayfoodbank.org.uk/,North Shields,Tyne and Wear,55.0165,-1.4493
The Besom in Camberley,GU15Â ,http://www.besom.com,,,,
The Breaking Bread Trust,HA1 1BD,www.breakingbreadtrust.org,"Greenhill, Harrow on the Hill",Greater London,51.5834,-0.33615
The Brierley Hill Porject (Black Country Food Bank),DY5 2RR,https://www.blackcountryfoodbank.org.uk/,"Brierley Hill, Woodside, Pensnett, Quarry Bank",West Midlands,52.4817,-2.119025
The Bus Shelter Ipswich CIC,IP110FE,https://www.facebook.com/thebussheltershop,,,,
The Carpenter's Shop (Black Country Food Bank),B63 2LA,https://www.blackcountryfoodbank.org.uk/,"Halesowen, Cradley, Hasbury",West Midlands,52.4486,-2.067133333
The Chatterbox Project,M9 7BL,https://www.facebook.com/TheChatterboxProject/,,,,
The Community Cupboard,DA38HX,https://www.facebook.com/thecommunitycupboard19/posts/?ref=page_internal,,,,
The Community Emergency Food Bank (CEF),OX20 1RS,www.cefoxford.co.uk,"Bladon, Kiddington, Woodstock, Glympton, Wootton, Over Kiddington",Oxfordshire,51.8292,-1.3673
The Community Emergency Food Bank (CEF),OX3 7JP,www.cefoxford.co.uk,"Elsfield, Beckley, Headington, Marston, Noke, Woodeaton",Oxfordshire,51.7866,-1.217166667
The Community Emergency Food Bank (CEF),OX4 4QB,www.cefoxford.co.uk,"Sandford-on-Thames, Iffley, Cowley, Littlemore",Oxfordshire,51.7116,-1.224375
The community foodbank -Skye and lochalsh,IV51 9PX,http://www.skyefoodbank.co.uk,"Monkstadt, Skeabost, Portree, Flodigarry, Kingsburgh, Kilmaluag, Earlish, Bernisdale, Eyre, Mugeary, Glenmore, Kilvaxter, Flashader, Greshornish, Borve, Drumuie, Camastianavaig, Culnaknock, Staffin, Cuidrach, Idrigil, Duntulm, Stenscholl, Rigg, Edinbain, Garros, Balgown, Hunglader, Uig, Kensaleyre, Tote, Lealt, Uigshader, Linicro, Balnaknock, Maligar, Torvaig, Treaslane, Peinchorran, Carbost, Elishader, Glengrasco, Peinlich, Digg, Penifiler, Marishader",Highland,57.6333,-6.316152174
The Dandelion Community - part of United Reformed Church,M22 5ED,https://dandelioncommunity.weebly.com/,Moss Nook,Greater Manchester,53.3861,-2.2599
The Easter Team,RH103SB,www.theeasterteam.org,,,,
The Fountain of Life (Black Country Food Bank),B69 3AG,https://www.blackcountryfoodbank.org.uk/,Oldbury,West Midlands,52.5,-2.0167
The Gate Charity Foodbank,FK10 2DR,http://www.the-gate-charity.org/what-we-do/foodbank/,"Alloa, Kennet, Forest Mill, Cambus, Clackmannan, New Sauchie, Tullibody, Kincardine, Bogside",Clackmannanshire,56.1159,-3.7534
The Giving Hands Charity (Black Country Food Bank),DY5 2RG,https://www.blackcountryfoodbank.org.uk/,"Brierley Hill, Woodside, Pensnett, Quarry Bank",West Midlands,52.4817,-2.119025
The Grove Community Association,L40 0RZ,https://www.facebook.com/groveCA,"Mawdesley, Rufford, Burscough, Westhead, Bescar, Burscough Bridge, Scarth Hill, Scaris-brick, New Lane, Pinfold, Holmeswood, Tarlscough",Lancashire,53.6286,-2.816991667
The Healthy Living Platform,SE59HY,www.healthylivingplatform.org,,,,
The Hive Food Bank,N19 3AD,https://thehivefoodbank.com/,"Upper Holloway, Holloway Road, Archway, Hornsey Rise",Greater London,51.5649,-0.1351
The Hulme Community Pantry Limited,M15 5ED,www.onemanchester.co.uk,Manchester,Greater Manchester,53.4809,-2.2374
The James Project (Black Country Food Bank),B64 5SA,https://www.blackcountryfoodbank.org.uk/,Old Hill,West Midlands,52.4833,-2.0667
The Lalley Centre,M40 7RG,https://www.caritassalford.org.uk/service-view/services-5/,Manchester,Greater Manchester,53.5041,-2.191
The Life House,B29 6PB,www.thelifehouse.net,"Selly Oak, Bournbrook",West Midlands,52.4393,-1.9402
The Moses Poject,TS18 2AP,www.themosesproject.co.uk,Hartburn,Durham,54.5613,-1.3243
The Muslim Initiative,NE4 5NS,http://www.facebook.com/orchardliverpool/,Blakelaw,Tyne and Wear,54.974,-1.6447
The Olive Branch (Faith in Action),LA1 5DB,www.the-olivebranch.org.uk,"Scotforth, Lancaster",Lancashire,54.0167,-2.7915
The Orchard,L19 8JZ,https://www.facebook.com/orchardliverpool/,"Garston, Grassendale",Merseyside,53.3333,-2.9
The People's Pantry NE,NE38 7,https://www.facebook.com/thepeoplespantryNE/,"Fatfield, Washington",Tyne and Wear,54.9,-1.5167
The Raft Foundation,BB4 6HL,www.raftfoundation.org,"Newchurch, Haslingden, Helmshore, Rawtenstall, Love Clough, Water, Haslingden Grane, Waterfoot, Dunnockshaw, Crawshawbooth",Lancashire,53.7,-2.2986
The River Manchester,M11 1 JG,www.therivermanchester.org.uk/,Manchester,Greater Manchester,53.479,-2.1818
The Rock (Black Country Food Bank),WS1 1TE,https://www.blackcountryfoodbank.org.uk/,"Walsall, Maw Green",West Midlands,52.5853,-1.984
The Small Street Centre (Black Country Food Bank),WA1 3PR,https://www.blackcountryfoodbank.org.uk/,"Warrington, Woolston, Martinscroft",Cheshire,53.3925,-2.561
The Thomas Project (Black Country Food Bank),WS9 8HB,https://www.blackcountryfoodbank.org.uk/,"Stonnall, Walsall Wood, Aldridge, Thornes, Vigo",Staffordshire,52.6333,-1.91614
The Vale Community Centre Foodbank,BN2 0FH,http://www.cravenvale.org.uk/,"Brighton, Rottingdean, Woodingdean, Saltdean, Bevendean, Ovingdean, Kemp Town, Moulsecoomb",East Sussex,50.8284,-0.082825
The Vineyard Care Centre,AL15UG,https://www.thevineyardchurch.co.uk/compassion,,,,
The Welcome Centre,HD1 1QB,https://www.thewelcomecentre.org/,Huddersfield,West Yorkshire,53.649,-1.7842
The Well (Black Country Food Bank),DY4 8QJ,https://www.blackcountryfoodbank.org.uk/,"Tipton, Princes End, Dudley Port",West Midlands,52.5296,-2.0677
The Wiggly Worm,GL51 0LG,www.thewigglyworm.org.uk,"Swindon, Staverton, Golden Valley, Shurdington, Hardwicke, Uckington, Up Hatherley, Little Witcombe, Elmstone Hardwicke, Staverton Bridge, Bentham, Boddington, Badgeworth",Gloucestershire,51.9236,-2.123953846
Thorne and Moorends Community Hub and Food Bank,DN8 4EZ,https://www.facebook.com/TMCHfoodbank/,"Sandtoft, Thorne, Moorends",Lincolnshire,53.5638,-0.921
Transformation CPR,TR14 7RH,www.transformationcpr.co.uk,"Camborne, Tuckingmill, Praze-an-Beeble, Crowan, Roseworthy, Barripper, Carnhell Green, Coombe, Troon, Kehelland",Cornwall,50.2131,-5.30309
Trinity City Foodbank,EH14 2SL,edinburghcitymission.org.uk,"Balerno, Currie, Hermiston, Juniper Green, Craiglockhart, Malleny Mills",City of Edinburgh,55.8844,-3.311016667
Unity Grill CIC,KA7 1BG,https://www.facebook.com/unitygrill/,"Dunure, Alloway, Seafield, Ayr, Holmston, Nether Auchendrane, Minishant, Dunure Mains, Fisherton, Lagg",South Ayrshire,55.405,-4.6756
Unity World Cafe & foodbank,G5 8JD,https://www.facebook.com/groups/552234498254241/,Glasgow,Dunbartonshire,55.8651,-4.2576
Utilise Loughborough,LE11 1PL,https://www.facebook.com/utiliseloughborough/,"Loughborough, Thorpe Acre, Nanpantan",Leicestershire,52.7667,-1.2
Victoria Park Baptist Church,BS3 5DA,http://www.victoriapark.org.uk,Bristol,County of Bristol,51.4552,-2.5966
VOICE,BB1 1EZ,www.communitycvs.org.uk,"Blackburn, Rishton, Wilpshire, Copster Green, Belthorn, Salesbury",Lancashire,53.75,-2.463333333
Wai Yin SocietyÂ ,M4 5JU,www.waiyin.org.uk,Manchester,Greater Manchester,53.4809,-2.2374
Wansbeck Valley Food Bank,NE61 3BP,www.wansbeckvalleyfoodbank.org,"Fenrother, Ulgham, Ellington, Pegswood, Longwitton, Stannington, Hartburn, Bothal, Longhirst, Widdrington, Netherwitton, Mitford, Whalton, Morpeth, West Chevington, Lynemouth, Cresswell, Cambo, Hepscott, Tranwell, West Edington, Tritlington, Scots' Gap, Middleton, Hebron, Coldrife, Earsdon Moor, Eshott, Pigdon, Clifton, Forestburn Gate, Middleton Bank Top, Red Row, Meldon, Chevington Drift, Shadfen, Causey Park, South Broomhill, Throphill, Rothley",Northumberland,55.2224,-1.7111625
Washington Community Food Project,NE38 0LA,www.wcfp.org.uk,"Fatfield, Washington",Tyne and Wear,54.9,-1.5167
Washington Community Food Project,NE38 9AH,www.wcfp.org.uk,"Fatfield, Washington",Tyne and Wear,54.9,-1.5167
Washington Community Food Project,NE373BD,www.wcfp.org.uk,,,,
Washington Community Food Project,NE38 8HZ,www.wcfp.org.uk,"Fatfield, Washington",Tyne and Wear,54.9,-1.5167
Washington Community Food Project,NE38 7LP,www.wcfp.org.uk,"Fatfield, Washington",Tyne and Wear,54.9,-1.5167
Waste Not Want Not Battersea,SW11 4LD,https://www.facebook.com/WasteNotWantNotProject/,"Clapham Junction, Battersea, Lavender Hill",Greater London,51.4636,-0.161933333
We share we care foodbank scotland,ML2 7AR,https://www.facebook.com/groups/2655378394699782/?ref=share,"Morningside, Cambusnethan, Overtown, Wishaw, Newmains, Waterloo, Bonkle",North Lanarkshire,55.7667,-3.896342857
West Dunbartonshire Community Foodshare,G821LJ,https://westdunbartonshirecommunityfoodshare.co.uk,,,,
West Dunbartonshire Community Foodshare,G813DE,https://westdunbartonshirecommunityfoodshare.co.uk,,,,
West Dunbartonshire Community Foodshare,G830NU,https://westdunbartonshirecommunityfoodshare.co.uk,,,,
West End Impact,LA31DG,http://www.westendimpact.org.uk/,,,,
West Northumberland Food Bank,NE46 3HN,http://www.westnorthumberlandfoodbank.org.uk,"Chollerton, Humshaugh, Warden, Colwell, Wall, Sandhoe, Hexham, Acomb, Walwick, Low Brunton, Sunnyside, Linnels, Dalton, Low Gate, Newbiggin, Dotland",Northumberland,55.0413,-2.09518125
West Northumberland Food Bank,NE49 0AX,http://www.westnorthumberlandfoodbank.org.uk,"Stonehouse, Haltwhistle, Plenmeller, Rowfoot, Melkridge",Northumberland,54.9672,-2.4515
West Northumberland Food Bank,NE42 5AA,http://www.westnorthumberlandfoodbank.org.uk,"Ovington, Ovingham, Prudhoe",Northumberland,54.9687,-1.871033333
Whitefoot and Downham Community Food Plus Project,BR1 5SF,http://wdcfplus.org.uk/,"Bromley, Bickley",Greater London,51.4061,0.0305
Wimborne Food Bank,BH21 1QQ,www.wimbornefoodbank.org.uk/,"Sturminster Marshall, Three Legged Cross, Gussage St Michael, Hampreston, Wimborne Minster, Long Crichel, Cranborne, Corfe Mullen, Canford Magna, Pamphill, Edmondsham, Wimborne St Giles, Witchampton, Moor Crichel, Horton, East End, Colehill, Stanbridge, Holt Heath, Tadden, Uppington, Sutton Holms, Hill View, Clapgate, Chalbury Common, Gaunt's Common, Knowlton, Boveridge, Broom Hill, Monkton Up Wimborne, Canford Bottom, Whitmore, Mannington, Stapehill, Woodlands, Manswood, Hinton Martell, Gussage All Saints, Holt",Dorset,50.7997,-1.975182051
Winchester Basics Bank,SO23 0PZ,www.winchesterbasicsbank.co.uk,"Winchester, King's Worthy, Headbourne Worthy",Hampshire,51.0651,-1.314066667
Winchester Basics Bank,S022 6DS,www.winchesterbasicsbank.co.uk,,,,
Winchester Basics Bank,SO22 4BX,www.winchesterbasicsbank.co.uk,"Littleton, Oliver's Battery, Pitt",Hampshire,51.0833,-1.354433333
Wolverton Benefice (Milton Keynes Food Bank),MK12 5EX,mkfoodbank.org.uk/,"Wolverton, Old Wolverton",Buckinghamshire,52.0625,-0.8166
Wythenshawe Food Poverty Group,M23 0PH,https://www.gmpovertyaction.org/food-wellbeing/real-food-wythenshawe/,Baguley,Greater Manchester,53.3947,-2.279
Integrate Scotland,AB24 3YZ,www.integratescotland.org,Aberdeen,Aberdeenshire,57.1437,-2.0981
Integrate Scotland,AB25 1PN,www.integratescotland.org,Aberdeen,Aberdeenshire,57.1437,-2.0981
Integrate Scotland,AB51 3PX,www.integratescotland.org,"Monymusk, Kinmuck, Pitcaple, Comers, Meikle Wartle, Pitfichie, Inverurie, Fingask, Kemnay, Port Elphinstone, Rothienorman, Blackford, Balbithan, Kintore, Daviot, Chapel of Garioch, Tillyfourie, Oldmeldrum, Lyne, Gordonstown, Leylodge, Corsindae, Pittodrie Ho., Clovenstone, Tavelty, Cottown, Thainstone, Craigearn, Nether Lenshie, Nether Crimond, Mounie Castle, Dalmadilly, Denmoss, Durno, Little Ley, Woodend, Bankhead, Cross of Jackson, Bograxie, Tocher, St Katherines, South Blackbog, Silvermoss, Rorandle, Pitmunie, Earlsford, Newseat, Mains of Linton, Leschangie, Grantlodge, Fisherford, Fetternear Ho., Sauchen, Hillbrae, Redhill, Lauchintilly, Whitefield, Ordhead, Burnhervie, Barthol Chapel, Balhalgardy, Todlachie, Glack, Tulloch, Tillybirloch, Springleys, Pitinnan, Mill of Kingoodie, Glenton, Folla Rule, Denmill, Denhead, Overton, Jackstown, Kirkton of Bourtie, Cromblet, Kirktown of Rayne, Milton Inveramsay, Shiels, Auquhorthies, Balgove, Burnside, Badenscoth, Auchorrie, Whiteford, Wester Fintray, The Banking, Cairnbrogie",Aberdeenshire,57.2267,-2.442275
Integrate Scotland,AB30 1ZJ,www.integratescotland.org,"Fettercairn, Garvock, Mains of Thornton, Easter Tulloch, Phesdo, Marykirk, Dykelands, Arbuthnott, Sauchieburn, Luthermuir, Meikle Strath, Laurencekirk, Thornyhill, Glensaugh, Nether Pitforthie, Thainston, Johnston Mains, Redford, Fordoun, Parkneuk, Scotston, Tipperty, Auchenblae, East Cairnbeg, Clatterin Brig, Feus of Caldhame, Kirktonhill, Mains of Dillavaird, Pert",Aberdeenshire,56.8513,-2.558234483
Integrate Scotland,AB21 9DG,www.integratescotland.org,Aberdeen,Aberdeenshire,57.2111,-2.2037
Integrate Scotland,AB41 9AE,www.integratescotland.org,"Kirkton of Logie Buchan, Inkhorn, Waterside, Pitmedden, Auchmacoy, Ythsie, Newburgh, Craigdam, Methlick, Ellon, Collieston, Auchnagatt, Cairnorrie, Kirktown of Slains, Bearnie, Foveran, Craigie Brae, Broomfield, Collynie, Tarves, Clochtow, Arthrath, Brownhill, Tillery, Blindburn, Kincraig, Monteach, Skelmonae, Pettymuick, Newmill, Raxton, Tanglandford, South Upper Barrack, Tipperty, Burnend, Toll of Birness, Udny Green, Artrochie, Blairythan, Cairnhill, Cookston, Leask, Crofts of Haddo, Inverebrie, Muirtack, Old Craig, Quilquox, Tillycorthie, Tillygreig, Udny Station, Wedderlairs, Ardo, Milton Coldwells, Hilton, Loanhead, Esslemont, Drumwhindle, Cultercullen, Mains of Dudwick, Kinharrachie, Meikle Tarty, Kinnadie, Minnes, Mill of Elrick, Drums",Aberdeenshire,57.35,-2.199930769
Integrate Scotland,AB39 3DF,www.integratescotland.org,Aberdeen,Aberdeenshire,56.9773,-2.2184
Central Southwark Community Hub,SE5 7LL,http://www.cschub.co.uk,"Camberwell, Southwark, Denmark Hill, East Dulwich",Greater London,51.4739,-0.090125
Central Southwark Community Hub,SE17 3QU,http://www.cschub.co.uk,"Kennington, Elephant & Castle, Walworth",Greater London,51.488,-0.102833333
Central Southwark Community Hub,SE1 5BA,http://www.cschub.co.uk,"Bermondsey, South Bank, Waterloo, Old Kent Road, Lambeth, Southwark, New Kent Road, Southwark Cathedral, Borough, Lambeth North, Newington, London Bridge, Westminster Bridge",Greater London,51.4979,-0.093038462
Central Southwark Community Hub,SE17 1RW,http://www.cschub.co.uk,"Kennington, Elephant & Castle, Walworth",Greater London,51.488,-0.102833333
Hebburn Helps ,NE311QY,hebburnhelps.co.uk,,,,
A Farooq Education and Community Centre,G42 8EJ,https://www.afecc.co.uk/,Glasgow,Dunbartonshire,55.8322,-4.2576
Belfast And Lisburn Community Project,BT4 3BA,www.facebook.com/BALCProject/,"Belfast, Belmont, Belfast East, Sydenham, Stormont",Belfast Greater,54.5833,-5.88056
Pontarddulais Partnership,SA4 8PA,https://www.facebook.com/canolfanybont.org/,"Hendy, Fforest, Gorseinon, Pontardulais, Crofty, Pontlliw, Llanmorlais, Gowerton, Grovesend, Penllergaer, Three Crosses, Poundffald, Loughor, Pen-clawdd, Pentrebach, Bolgoed",Carmarthenshire,51.714,-4.059125
The Selby Trust,N17 8JL,www.selbytrust.co.uk,"Tottenham, West Green, Waltham Forest, Tottenham Hale, White Hart Lane",Greater London,51.6037,-0.07094
Nightwatch,CR8 2QA,croydonnightwatch.org.uk,"Kenley, Purley",Greater London,51.3264,-0.10655
People Matter,EX15 1JX,https://standrewscullompton.com/getting-involved/serving-others/people-matter/,"Plymtree, Culmstock, Hemyock, Uffculme, Butterleigh, Kerswell, Kentisbeare, Cullompton, Willand, Aunk, Clyst Hydon, Clayhidon, Waterloo Cross, Blackborough, Langford, Clyst St Lawrence, Colebrook, Norman's Green, Mutterton, Madford, Dulford, Brithem Bottom, Bolham Water, Smithincott, Rosemary Lane, Westcott, Ashill, Craddock",Devon,50.8176,-3.310982143
Banc Bwyd Llanbed-Lampeter Food Bank,SA48 8EA,https://www.facebook.com/lampeterfoodbank/,"Dihewyd, Llangybi, Llanfair Clydogau, Temple Bar, Silian, Llanwnen, Capel St Silin, Cilcennin, Abermeurig, Trefilan, Ystrad Aeron, Lampeter, Bwlch-llan, Gartheli, Mydroilyn, Cribyn, Tal-sarn, Cellan, Bettws Bledrws, Ciliau-Aeron, Caledrhydiau, Brynog, Pentrefelin, Cwmann, Ram",Ceredigion,52.1833,-4.1118
Soul Foundation,NR6 6RF,www.soulfoundation.org.uk,"Hellesdon, Catton",Norfolk,52.6627,1.27955
Resolven Building Blocks,SA11 4AB,www.buildingblocksfamilycentre.co.uk,"Glyn-Neath, Briton Ferry, Resolven, Neath, Blaengwrach, Tonna, Pentreclwydau, Cwmgwrach, Aber-pergwm, Melincourt, Melincryddan, Pont Walby, Morfa Glas, Pont Nedd Fechan",Neath Port Talbot,51.7475,-3.694407143
The King's Storehouse (Wellspring Church Charity No 1062914),LL18 2PD,http://www.kingsstorehouse.org.uk/,"Plas Llwyd, Cwm, Dyserth, Rhuddlan, Bodelwyddan, Rhyl, Marian Cwm, Pengwern, Trelawnyd, Gwaenysgor",Conwy,53.291,-3.45482
ChristChurch Hub,LE5 2HQ,https://www.achurchnearyou.com/church/2799/about-us/,"Stoneygate, Humberstone",Leicestershire,52.6474,-1.0865
Diamond Hampers,PE284QA,https://www.facebook.com/groups/470909533469082/?ref=share,,,,
HLP,SE5 9HY,www.healthylivingplatfore.org,"Camberwell, Southwark, Denmark Hill, East Dulwich",Greater London,51.4739,-0.090125
St Cross Church ,LS10 4HT,https://www.facebook.com/pages/St-Cross-Church-Middleton/188104644611685,Middleton,West Yorkshire,53.7496,-1.5494
Daily Bread Pop up Cafe,CM131JS,www.huttonparish.com,,,,
Hopeworx,SS6 7QF,hopeworx.org.uk,Rayleigh,Essex,51.5857,0.6046
Share Alike ,G74 1LQ,https://www.facebook.com/sharealikeek/,"East Kilbride, Thorntonhall, Nerston",South Lanarkshire,55.7641,-4.170033333
Cymer Afan Community Library,SA13 3HR,https://www.facebook.com/CymerAfanHelp/,"Glyncorrwg, Cymmer, Taibach, Abergwynfi, Duffryn, Bryn, Croeserw, Blaengwynfi, Margam",Neath Port Talbot,51.6794,-3.670888889
Braes Storehouse Food Bank,FK2 0YN,www.braesstorehouse.org.uk,"Polmont, Airth, Dunmore, Carron, Maddiston, Bellsdyke, Bowtrees, Brightons, Bainsford, Laurieston, Carronshore",Falkirk,55.9905,-3.755472727
Hasi Humanitarian Organisation Ltd ,N99UJ,www.hasifoundation.org,,,,
Lanarkshire Community Foodbank,ML3 8NA,lanarkshirefoodbank.org.uk,"Hamilton, Meikle Earnock, Allanton, Quarter, Low Waters, Eddlewood, Limekilnburn",South Lanarkshire,55.7667,-4.045457143
Jubilee Storehouse,SY23 1RY,https://www.facebook.com/JubileeStorehouse/,"Ponterwyd, Cross Inn, Llanddeiniol, Llanilar, Llangwyryfon, Pen-bont Rhydybeddau, Llanon, Blaenpennal, Capel Seion, Aberystwyth, New Cross, Dyffryn Castell, Goginan, Penparcau, Rhodmad, Llanfihangel-y-Creuddyn, Pennant, Lledrod, Llansantffraid, Llanrhystud, Capel Dewi, Capel Bangor, Salem, Llanafan, Blaenplwyf, Ysbyty Cynfyn, Old Goginan, Llanfarian, Llanbadarn Fawr, Cwmystwyth, Cwmsymlog, Bronnant, Waun Fawr, Bethania, Trefenter, Rhydyfelin, Penrhyn-coch, Llangorwen, Gors, Cwmbrwyno, Aberffrwd, Rhyd-rosser, Plas Gogerddan, Monachty, Eisteddfa Gurig, Cnwch Coch, Devil's Bridge, Nebo",Ceredigion,52.4114,-3.9885
Neruka's Soup Kitchen,LS8 5ES,http://nerukassoupkitchen.simplesite.com/437409613,"Roundhay, Gledhow",West Yorkshire,53.8245,-1.5099
Refugee Solidarity South East,SE12 8SS,https://www.instagram.com/refugeesolidarityse/,"Lee Green, Grove Park, Lee",Greater London,51.4448,0.0209
West End Impact,LA3 2BJ,https://www.facebook.com/groups/westendimpact/,"Overton, Heaton, Heysham, Oxcliffe Hill, Sandylands, Middleton",Lancashire,54.0153,-2.87485
"Storehouse Foodbank, Stour Valley Vineyard Church",CO10 1NP,stourvalleyvineyard.org/storehouse,"Brent Eleigh, Great Waldingfield, Stanstead, Great Cornard, Preston, Boxford, Alpheton, Cavendish, Poslingford, Hundon, Sudbury, Lavenham, Long Melford, Wixoe, Stoke by Clare, Little Waldingfield, Glemsford, Groton, Edwardstone, Acton, Assington, Clare, Stansfield, Newton, Belchamp Otten, Bulmer, Ovington, Middleton, Knowl Green, Liston, Bulmer Tye, Borley, Henny Street, Belchamp St Paul, Sackers Green, Ashen, Bridge Street, Puttock End, Ballingdon, Rodbridge Corner, Brook Street, Twinstead, Great Henny, Belchamp Walter, Foxearth, Chilton Street, Pentlow",Suffolk,52.0954,0.680029787
Caritas Foodbank Bury ,M26 3WD,https://www.caritassalford.org.uk/,"Prestolee, Radcliffe",Greater Manchester,53.55,-2.3333
